			
It wouldn't be murder	 it would be self defense.		
-- 			
Mob rule isn't any prettier merely because the mob calls itself a government			
It ain't charity if you are using someone else's money.			
Wilson's theory of relativity: If you go back far enough	 we're all related.		
Mark.Wilson@AtlantaGA.NCR.com			
",talk.religion.misc
19949,Xref: cantaloupe.srv.cs.cmu.edu alt.conspiracy:22137 talk.politics.misc:179841 talk.religion.misc:84430"			
Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!noc.near.net!uunet!munnari.oz.au!metro!basser.cs.su.oz.au!news.adelaide.edu.au!spam!jaskew			
From: jaskew@spam.maths.adelaide.edu.au (Joseph Askew)			
Newsgroups: alt.conspiracy	talk.politics.misc	talk.religion.misc	
Subject: Re: A Message for you Mr. President: How do you know what happened?			
Message-ID: <2578@spam.maths.adelaide.edu.au>			
Date: 23 Apr 93 02:12:40 GMT			
References: <19APR199313180801@utarlg.uta.edu> <bskendigC5qyJ2.GEw@netcom.com>			
Organization: Statistics	 Pure & Applied Mathematics	 University of Adelaide	
Lines: 21			
			
In article <bskendigC5qyJ2.GEw@netcom.com> bskendig@netcom.com (Brian Kendig) writes:			
>b645zaw@utarlg.uta.edu (Stephen Tice) writes:			
			
>>One way or another -- so much for patience. Too bad you couldn't just			
>>wait. Was the prospect of God's Message just too much to take?			
			

